C—digo,Clave,Descripci—n,Caja,Master,Unidad,C—gido EAN,Precio Publico con iVA,Precio Publico sin iVA,Precio Mayoreo con IVA,Precio Mayoreo sin IVA,Precio Subdistribuidor con IVA,Precio Subdistribuidor sin IVA,Precio Distribuidor con IVA,Precio Distribuidor sin IVA,Marca,Codigo SAT,Descripcion SAT
14486,BRT-4,"Brocha, mango de plástico, 4'",6,72,Pieza,7501206686522,58,50,50,43.1,45,38.79,39,33.62,Truper,31211904,Brochas
12470,BRT-4C,"Brocha pelo de camello, mango de madera, 4'",6,72,Pieza,7506240644330,115,99.14,97,83.62,86,74.14,75,64.66,Truper,31211904,Brochas
13347,BRT-4S,"Brocha cerdas sintéticas,mango de madera, corte recto, 4'",6,144,Pieza,7506240648000,97,83.62,84,72.41,74,63.79,65,56.03,Truper,31211904,Brochas
17865,BRT-4X,"Brocha, mango de plástico, 4', Truper Expert",6,72,Pieza,7506240662174,67,57.76,58,50,52,44.83,45,38.79,Expert,31211904,Brochas
14487,BRT-5,"Brocha, mango de plástico, 5'",6,72,Pieza,7501206686539,78,67.24,67,57.76,59,50.86,52,44.83,Truper,31211904,Brochas
17866,BRT-5X,"Brocha, mango de plástico, 5', Truper Expert",6,72,Pieza,7506240662181,88,75.86,76,65.52,67,57.76,59,50.86,Expert,31211904,Brochas
14488,BRT-6,"Brocha, mango de plástico, 6'",6,72,Pieza,7501206686546,87,75,75,64.66,66,56.9,58,50,Truper,31211904,Brochas
17867,BRT-6X,"Brocha, mango de plástico, 6', Truper Expert",6,72,Pieza,7506240662198,97,83.62,84,72.41,74,63.79,65,56.03,Expert,31211904,Brochas
11281,BS-1/2X12,"Broca con sistema directo de inserción, 1/2 x 12'",5,100,Pieza,7501206613863,119,102.59,105,90.52,90,77.59,75,64.66,Truper,27111543,Broca de mampostería
11282,BS-1/2X18,"Broca con sistema directo de inserción, 1/2 x 18'",5,60,Pieza,7501206613856,168,144.83,147,126.72,126,108.62,105,90.52,Truper,27111543,Broca de mampostería
11279,BS-1/2X6,"Broca con sistema directo de inserción, 1/2 x 6'",5,150,Pieza,7501206613887,92,79.31,79,68.1,68,58.62,57,49.14,Truper,27111543,Broca de mampostería
11266,BS-1/4X10,"Broca con sistema directo de inserción, 1/4 x 10'",5,150,Pieza,7501206614013,60,51.72,53,45.69,46,39.66,38,32.76,Truper,27111543,Broca de mampostería
11263,BS-1/4X4,"Broca con sistema directo de inserción, 1/4 x 4'",5,300,Pieza,7501206614044,38,32.76,34,29.31,29,25,24,20.69,Truper,27111543,Broca de mampostería
11264,BS-1/4X6,"Broca con sistema directo de inserción, 1/4 x 6'",5,200,Pieza,7501206614037,40,34.48,35,30.17,30,25.86,25,21.55,Truper,27111543,Broca de mampostería
11265,BS-1/4X8,"Broca con sistema directo de inserción, 1/4 x 8'",5,150,Pieza,7501206614020,52,44.83,45,38.79,38,32.76,32,27.59,Truper,27111543,Broca de mampostería
11289,BS-1X10,"Broca con sistema directo de inserción, 1 x 10'",5,40,Pieza,7501206613788,329,283.62,289,249.14,245,211.21,205,176.72,Truper,27111543,Broca de mampostería
11290,BS-1X18,"Broca con sistema directo de inserción, 1 x 18'",5,20,Pieza,7501206613771,455,392.24,399,343.97,345,297.41,285,245.69,Truper,27111543,Broca de mampostería
11261,BS-3/16X8,"Broca con sistema directo de inserción, 3/16 x 8'",5,150,Pieza,7501206614068,48,41.38,42,36.21,36,31.03,30,25.86,Truper,27111543,Broca de mampostería
11287,BS-3/4X12,"Broca con sistema directo de inserción, 3/4 x 12'",5,30,Pieza,7501206613801,249,214.66,215,185.34,185,159.48,155,133.62,Truper,27111543,Broca de mampostería
11267,BS-3/4X18,"Broca con sistema directo de inserción, 3/4 x 18'",5,20,Pieza,7501206614006,269,231.9,235,202.59,205,176.72,169,145.69,Truper,27111543,Broca de mampostería
11286,BS-3/4X8,"Broca con sistema directo de inserción, 3/4 x 8'",5,40,Pieza,7501206613818,215,185.34,189,162.93,159,137.07,135,116.38,Truper,27111543,Broca de mampostería
11275,BS-3/8X12,"Broca con sistema directo de inserción, 3/8 x 12'",5,100,Pieza,7501206613924,88,75.86,77,66.38,66,56.9,55,47.41,Truper,27111543,Broca de mampostería
11277,BS-3/8X18,"Broca con sistema directo de inserción, 3/8 x 18'",5,60,Pieza,7501206613900,115,99.14,99,85.34,86,74.14,72,62.07,Truper,27111543,Broca de mampostería
11272,BS-3/8X6,"Broca con sistema directo de inserción, 3/8 x 6'",5,150,Pieza,7501206613955,62,53.45,54,46.55,47,40.52,39,33.62,Truper,27111543,Broca de mampostería
11270,BS-5/16X12,"Broca con sistema directo de inserción, 5/16 x 12'",5,100,Pieza,7501206613979,78,67.24,68,58.62,58,50,49,42.24,Truper,27111543,Broca de mampostería
11269,BS-5/16X6,"Broca con sistema directo de inserción, 5/16 x 6'",5,200,Pieza,7501206613986,48,41.38,42,36.21,36,31.03,30,25.86,Truper,27111543,Broca de mampostería
11285,BS-5/8X12,"Broca con sistema directo de inserción, 5/8 x 12'",5,60,Pieza,7501206613825,176,151.72,155,133.62,135,116.38,110,94.83,Truper,27111543,Broca de mampostería
11276,BS-5/8X24,"Broca con sistema directo de inserción, 5/8 x 24'",5,20,Pieza,7501206613917,265,228.45,229,197.41,199,171.55,165,142.24,Truper,27111543,Broca de mampostería
11284,BS-5/8X8,"Broca con sistema directo de inserción, 5/8 x 8'",5,60,Pieza,7501206613832,155,133.62,135,116.38,115,99.14,95,81.9,Truper,27111543,Broca de mampostería
11271,BS-7/16X12,"Broca con sistema directo de inserción, 7/16 x 12'",5,100,Pieza,7501206613962,94,81.03,82,70.69,70,60.34,59,50.86,Truper,27111543,Broca de mampostería
11278,BS-7/16X6,"Broca con sistema directo de inserción, 7/16 x 6'",5,150,Pieza,7501206613894,68,58.62,60,51.72,52,44.83,43,37.07,Truper,27111543,Broca de mampostería
11288,BS-7/8X11,"Broca con sistema directo de inserción, 7/8 x 11'",5,40,Pieza,7501206613795,285,245.69,249,214.66,215,185.34,179,154.31,Truper,27111543,Broca de mampostería
11260,BS-7/8X18,"Broca con sistema directo de inserción, 7/8 x 18'",5,20,Pieza,7501206614075,375,323.28,329,283.62,285,245.69,235,202.59,Truper,27111543,Broca de mampostería
11268,BS-7/8X8,"Broca con sistema directo de inserción, 7/8 x 8'",5,40,Pieza,7501206613993,255,219.83,225,193.97,189,162.93,159,137.07,Truper,27111543,Broca de mampostería
11274,BS-9/16X12,"Broca con sistema directo de inserción, 9/16 x 12'",5,60,Pieza,7501206613931,129,111.21,115,99.14,98,84.48,82,70.69,Truper,27111543,Broca de mampostería
11273,BS-9/16X6,"Broca con sistema directo de inserción, 9/16 x 6'",5,100,Pieza,7501206613948,105,90.52,89,76.72,76,65.52,64,55.17,Truper,27111543,Broca de mampostería
44025,BSE-1/2,"Bandola con seguro, de acero, 1/2'",12,72,Pieza,7501206694435,65,56.03,57,49.14,49,42.24,41,35.34,Fiero,31162600,Ganchos
44022,BSE-1/4,"Bandola con seguro, de acero, 1/4'",12,72,Pieza,7501206694404,19,16.38,17,14.66,14.5,12.5,12,10.34,Fiero,31162600,Ganchos
44020,BSE-1/8,"Bandola con seguro, de acero, 1/8'",12,72,Pieza,7501206694381,13,11.21,11.5,9.91,10,8.62,8,6.9,Fiero,31162600,Ganchos
44021,BSE-3/16,"Bandola con seguro, de acero, 3/16'",12,72,Pieza,7501206694398,18,15.52,15.5,13.36,13.5,11.64,11,9.48,Fiero,31162600,Ganchos
44024,BSE-3/8,"Bandola con seguro, de acero, 3/8'",12,72,Pieza,7501206694428,42,36.21,36,31.03,32,27.59,26,22.41,Fiero,31162600,Ganchos
44023,BSE-5/16,"Bandola con seguro, de acero, 5/16'",12,72,Pieza,7501206694411,29,25,25,21.55,22,18.97,18,15.52,Fiero,31162600,Ganchos
44639,BSO-1,"Bisagra tubular, soldable 1'",6,24,Pieza,7506240603603,67,57.76,58,50,50,43.1,42,36.21,Hermex,31162403,Goznes o bisagras
44636,BSO-1/2,"Bisagra tubular, soldable, 1/2'",20,160,Pieza,7506240603573,7.5,6.47,6.5,5.6,5.5,4.74,4.5,3.88,Hermex,31162403,Goznes o bisagras
44638,BSO-3/4,"Bisagra tubular, soldable, 3/4'",10,40,Pieza,7506240603597,27,23.28,24,20.69,20,17.24,17,14.66,Hermex,31162403,Goznes o bisagras
44635,BSO-3/8,"Bisagra tubular, soldable, 3/8'",20,160,Pieza,7506240603566,6,5.17,5,4.31,4.5,3.88,3.5,3.02,Hermex,31162403,Goznes o bisagras
44637,BSO-5/8,"Bisagra tubular, soldable, 5/8'",20,80,Pieza,7506240603580,14.5,12.5,13,11.21,11,9.48,9,7.76,Hermex,31162403,Goznes o bisagras
48978,BTO-5,Brida cromada para tubo ovalado de closet,10,100,Pieza,7506240660651,22,18.97,20,17.24,17,14.66,14,12.07,Hermex,23101500,"Maquinaria para trabajar madera, piedra, cerámica y similares"
48975,BTR-3,Brida cromada para tubo redondo de closet,10,100,Pieza,7506240660620,16,13.79,14,12.07,12,10.34,10,8.62,Hermex,23101500,"Maquinaria para trabajar madera, piedra, cerámica y similares"
19633,BU-105,Barreta de uña de 3/4' x 105 cm,3,210,Pieza,7501206619407,235,202.59,199,171.55,178,153.45,155,133.62,Truper,27112017,Barras de cavar o barretones
10874,BU-120,Barreta de uña de 1' x 120 cm,3,210,Pieza,7501206676011,415,357.76,355,306.03,315,271.55,275,237.07,Truper,27112017,Barras de cavar o barretones
10850,BU-30,Barreta de uña de 1/2' x 30 cm,3,210,Pieza,7501206633922,48,41.38,42,36.21,37,31.9,32,27.59,Truper,27112017,Barras de cavar o barretones
10853,BU-45,Barreta de una de 3/4' x 45 cm,3,210,Pieza,7501206631669,127,109.48,109,93.97,97,83.62,85,73.28,Truper,27112017,Barras de cavar o barretones
10856,BU-60,Barreta de una de 3/4' x 60 cm,3,210,Pieza,7501206631621,145,125,125,107.76,109,93.97,95,81.9,Truper,27112017,Barras de cavar o barretones
10859,BU-75,Barreta de uña de 3/4' x 75 cm,3,210,Pieza,7501206631676,157,135.34,136,117.24,119,102.59,105,90.52,Truper,27112017,Barras de cavar o barretones
10862,BU-90,Barreta de uña de 3/4' x 90 cm,3,210,Pieza,7501206631683,187,161.21,159,137.07,145,125,125,107.76,Truper,27112017,Barras de cavar o barretones
17699,BUJ-POD,Bujía de motor para podadora,4,96,Pieza,7506240605393,49,42.24,42,36.21,39,33.62,35,30.17,Truper,27112014,Cortadora de pasto
11705,BVI-1/2,"Broca para vidrio y azulejo, 1/2'",6,72,Pieza,7501206639566,88,75.86,78,67.24,65,56.03,52,44.83,Truper,27112221,Broca para baldosas
11702,BVI-1/4,"Broca para vidrio y azulejo, 1/4'",6,72,Pieza,7501206639535,54,46.55,48,41.38,40,34.48,32,27.59,Truper,27112221,Broca para baldosas
11700,BVI-1/8,"Broca para vidrio y azulejo, 1/8'",6,72,Pieza,7501206639511,39,33.62,35,30.17,29,25,23,19.83,Truper,27112221,Broca para baldosas
11701,BVI-3/16,"Broca para vidrio y azulejo, 3/16'",6,72,Pieza,7501206639528,43,37.07,38,32.76,32,27.59,25,21.55,Truper,27112221,Broca para baldosas
11704,BVI-3/8,"Broca para vidrio y azulejo, 3/8'",6,72,Pieza,7501206639559,69,59.48,62,53.45,52,44.83,41,35.34,Truper,27112221,Broca para baldosas
11703,BVI-5/16,"Broca para vidrio y azulejo, 5/16'",6,72,Pieza,7501206639542,56,48.28,50,43.1,42,36.21,33,28.45,Truper,27112221,Broca para baldosas
12121,C-1/2X10,"Cincel de corte frío, 1/2 X 10'",6,36,Pieza,7501206630761,72,62.07,62,53.45,55,47.41,48,41.38,Truper,27111900,Herramientas gruesas y de acabado
12124,C-1/2X12,"Cincel de corte frío, 1/2 X 12'",6,36,Pieza,7501206633489,82,70.69,72,62.07,63,54.31,55,47.41,Truper,27111900,Herramientas gruesas y de acabado
12115,C-1/2X6,"Cincel de corte frío, 1/2 X 6'",6,36,Pieza,7501206630716,52,44.83,46,39.66,40,34.48,35,30.17,Truper,27111900,Herramientas gruesas y de acabado
12118,C-1/2X8,"Cincel de corte frío, 1/2 X 8'",6,36,Pieza,7501206633472,63,54.31,54,46.55,48,41.38,42,36.21,Truper,27111900,Herramientas gruesas y de acabado
12100,C-1/4X5,"Cincel de corte frío, 1/4 X 5'",12,36,Pieza,7501206630709,35,30.17,30,25.86,26,22.41,23,19.83,Truper,27111900,Herramientas gruesas y de acabado
13785,C-1283-PI,"Copa desbaste, 3-5/32', 14 mm, grano 80 para piedra",1,4,Pieza,7506240635420,295,254.31,255,219.83,225,193.97,195,168.1,Truper,23131503,Ruedas de esmerilado
13782,C-1284-PI,"Copa desbaste, 3-5/32', grano 80 para piedra",1,4,Pieza,7506240635390,295,254.31,255,219.83,225,193.97,195,168.1,Truper,23131503,Ruedas de esmerilado
13780,C-1292-PI,"Copa desbaste, 3-5/32', grano 36 para piedra",1,4,Pieza,7506240635376,295,254.31,255,219.83,225,193.97,195,168.1,Truper,23131503,Ruedas de esmerilado
13783,C-1293-PI,"Copa desbaste, 3-5/32', 14 mm, grano 36 para piedra",1,4,Pieza,7506240635406,295,254.31,255,219.83,225,193.97,195,168.1,Truper,23131503,Ruedas de esmerilado
13781,C-1294-PI,"Copa desbaste, 3-5/32', grano 60 para piedra",1,4,Pieza,7506240635383,295,254.31,255,219.83,225,193.97,195,168.1,Truper,23131503,Ruedas de esmerilado
13784,C-1295-PI,"Copa desbaste, 3-5/32', 14 mm, grano 60 para piedra",1,4,Pieza,7506240635413,295,254.31,255,219.83,225,193.97,195,168.1,Truper,23131503,Ruedas de esmerilado
12163,C-1X10,"Cincel de corte frío, 1 X 10'",6,36,Pieza,7501206630778,138,118.97,119,102.59,105,90.52,92,79.31,Truper,27111900,Herramientas gruesas y de acabado
12273,C-1X10G,"Cincel de corte frío, 1 x 10' con grip",4,24,Pieza,7506240637127,169,145.69,149,128.45,135,116.38,115,99.14,Truper,27111900,Herramientas gruesas y de acabado
12166,C-1X12,"Cincel de corte frío, 1 X 12'",6,36,Pieza,7501206632123,148,127.59,128,110.34,115,99.14,99,85.34,Truper,27111900,Herramientas gruesas y de acabado
12181,C-1X12G,"Cincel de corte frío, 1 X 12', con grip",4,24,Pieza,7501206633960,187,161.21,159,137.07,145,125,125,107.76,Truper,27111900,Herramientas gruesas y de acabado
12160,C-1X8,"Cincel de corte frío, 1 X 8'",6,36,Pieza,7501206632116,117,100.86,99,85.34,89,76.72,78,67.24,Truper,27111900,Herramientas gruesas y de acabado
12276,C-1X8G,"Cincel de corte frío, 1 x 8' con grip",4,24,Pieza,7506240637158,169,145.69,149,128.45,135,116.38,115,99.14,Truper,27111900,Herramientas gruesas y de acabado
12145,C-3/4X10,"Cincel de corte frío, 3/4 X 10'",6,36,Pieza,7501206633533,88,75.86,76,65.52,67,57.76,59,50.86,Truper,27111900,Herramientas gruesas y de acabado
12275,C-3/4X10G,"Cincel de corte frío, 3/4 x 10' con grip",4,36,Pieza,7506240637141,125,107.76,106,91.38,94,81.03,82,70.69,Truper,27111900,Herramientas gruesas y de acabado
12148,C-3/4X12,"Cincel de corte frío, 3/4 X 12'",6,36,Pieza,7501206632093,93,80.17,80,68.97,72,62.07,62,53.45,Truper,27111900,Herramientas gruesas y de acabado
12172,C-3/4X12G,"Cincel de corte frío, 3/4 X 12', con grip",4,24,Pieza,7501206633946,135,116.38,115,99.14,105,90.52,89,76.72,Truper,27111900,Herramientas gruesas y de acabado
12139,C-3/4X6,"Cincel de corte frío, 3/4 X 6'",6,36,Pieza,7501206630730,67,57.76,58,50,52,44.83,45,38.79,Truper,27111900,Herramientas gruesas y de acabado
12142,C-3/4X8,"Cincel de corte frío, 3/4 X 8'",6,36,Pieza,7501206633526,78,67.24,67,57.76,59,50.86,52,44.83,Truper,27111900,Herramientas gruesas y de acabado
12278,C-3/4X8G,"Cincel de corte frío, 3/4 x 8' con grip",4,36,Pieza,7506240637172,115,99.14,97,83.62,86,74.14,75,64.66,Truper,27111900,Herramientas gruesas y de acabado
12112,C-3/8X10,"Cincel de corte frío, 3/8 X 10'",12,36,Pieza,7501206633465,57,49.14,49,42.24,44,37.93,38,32.76,Truper,27111900,Herramientas gruesas y de acabado
12106,C-3/8X6,"Cincel de corte frío, 3/8 X 6'",12,36,Pieza,7501206630754,39,33.62,34,29.31,30,25.86,26,22.41,Truper,27111900,Herramientas gruesas y de acabado
12109,C-3/8X8,"Cincel de corte frío, 3/8 X 8'",12,36,Pieza,7501206633458,45,38.79,39,33.62,35,30.17,30,25.86,Truper,27111900,Herramientas gruesas y de acabado
13791,C-346-PI,"Copa desbaste, 5', 14 mm, grano 24 para piedra",1,4,Pieza,7506240635475,365,314.66,319,275,279,240.52,245,211.21,Truper,23131503,Ruedas de esmerilado
13792,C-349-PI,"Copa desbaste, 5', 14 mm, grano 36 para piedra",1,4,Pieza,7506240635482,365,314.66,319,275,279,240.52,245,211.21,Truper,23131503,Ruedas de esmerilado
13793,C-351-PI,"Copa desbaste, 5', 14 mm, grano 60 para piedra",1,4,Pieza,7506240635499,365,314.66,319,275,279,240.52,245,211.21,Truper,23131503,Ruedas de esmerilado
13786,C-352-PI,"Copa desbaste, 5', grano 24 para piedra",1,4,Pieza,7506240635437,365,314.66,319,275,279,240.52,245,211.21,Truper,23131503,Ruedas de esmerilado
13787,C-356-PI,"Copa desbaste, 5', grano 36 para piedra",1,4,Pieza,7506240635444,365,314.66,319,275,279,240.52,245,211.21,Truper,23131503,Ruedas de esmerilado
13794,C-360-PI,"Copa desbaste, 5', 14 mm, grano 80 para piedra",1,4,Pieza,7506240635505,365,314.66,319,275,279,240.52,245,211.21,Truper,23131503,Ruedas de esmerilado
13788,C-361-PI,"Copa desbaste, 5', grano 60 para piedra",1,4,Pieza,7506240635451,365,314.66,319,275,279,240.52,245,211.21,Truper,23131503,Ruedas de esmerilado
13789,C-364-PI,"Copa desbaste, 5', grano 80 para piedra",1,4,Pieza,7506240635468,365,314.66,319,275,279,240.52,245,211.21,Truper,23131503,Ruedas de esmerilado
50252,C-39X33X14,Canastilla de acero 39 x 33 x 14 cms,1,3,Pieza,7501206612972,259,223.28,235,202.59,225,193.97,215,185.34,Truper,56121900,Mobiliario de demostración
50255,C-41X20X12,Canastilla de acero 41 x 20 x 12 cms,1,3,Pieza,7501206613016,159,137.07,148,127.59,139,119.83,135,116.38,Truper,56121900,Mobiliario de demostración
13217,C-4785,Barra corrediza para dados cuadro 1/4',3,24,Pieza,7501206614891,56,48.28,49,42.24,42,36.21,35,30.17,Truper,27112700,Herramientas mecánicas
12103,C-5/16X6,"Cincel de corte frío, 5/16 X 6'",12,36,Pieza,7501206632086,36,31.03,32,27.59,28,24.14,24,20.69,Truper,27111900,Herramientas gruesas y de acabado
12133,C-5/8X10,"Cincel de corte frío, 5/8 X 10'",6,36,Pieza,7501206633502,72,62.07,62,53.45,55,47.41,48,41.38,Truper,27111900,Herramientas gruesas y de acabado
12136,C-5/8X12,"Cincel de corte frío, 5/8 X 12'",6,36,Pieza,7501206633519,82,70.69,72,62.07,63,54.31,55,47.41,Truper,27111900,Herramientas gruesas y de acabado
12127,C-5/8X6,"Cincel de corte frío, 5/8 X 6'",6,36,Pieza,7501206630723,52,44.83,46,39.66,40,34.48,35,30.17,Truper,27111900,Herramientas gruesas y de acabado
12130,C-5/8X8,"Cincel de corte frío, 5/8 X 8'",6,36,Pieza,7501206633496,63,54.31,54,46.55,48,41.38,42,36.21,Truper,27111900,Herramientas gruesas y de acabado
13432,C-5285,Barra corrediza para dados cuadro 1/2',6,24,Pieza,7501206647578,136,117.24,119,102.59,105,90.52,85,73.28,Truper,27112700,Herramientas mecánicas
13912,C-5685,Barra corrediza para dados cuadro 3/4',1,4,Pieza,7501206641620,475,409.48,415,357.76,355,306.03,295,254.31,Truper,27112700,Herramientas mecánicas
50251,C-59X33X14,Canastilla de acero 59 x 33 x 14 cms,1,3,Pieza,7501206612941,259,223.28,235,202.59,225,193.97,215,185.34,Truper,56121900,Mobiliario de demostración
12154,C-7/8X10,"Cincel de corte frío, 7/8 X 10'",6,36,Pieza,7501206633540,109,93.97,94,81.03,83,71.55,73,62.93,Truper,27111900,Herramientas gruesas y de acabado
12274,C-7/8X10G,"Cincel de corte frío, 7/8 x 10' con grip",4,24,Pieza,7506240637134,169,145.69,149,128.45,135,116.38,115,99.14,Truper,27111900,Herramientas gruesas y de acabado
12157,C-7/8X12,"Cincel de corte frío, 7/8 X 12'",6,36,Pieza,7501206632109,118,101.72,105,90.52,90,77.59,79,68.1,Truper,27111900,Herramientas gruesas y de acabado
12175,C-7/8X12G,"Cincel de corte frío, 7/8 X 12', con grip",4,24,Pieza,7501206633953,157,135.34,136,117.24,119,102.59,105,90.52,Truper,27111900,Herramientas gruesas y de acabado
12151,C-7/8X8,"Cincel de corte frío, 7/8 X 8'",6,36,Pieza,7501206630747,94,81.03,82,70.69,72,62.07,63,54.31,Truper,27111900,Herramientas gruesas y de acabado
12277,C-7/8X8G,"Cincel de corte frío, 7/8 x 8' con grip",4,24,Pieza,7506240637165,148,127.59,128,110.34,115,99.14,99,85.34,Truper,27111900,Herramientas gruesas y de acabado
50253,C-80X21X12,Canastilla de acero 80 x 21 x 12 cms,1,3,Pieza,7501206612989,259,223.28,235,202.59,225,193.97,215,185.34,Truper,56121900,Mobiliario de demostración
19687,C-PCY-P,"Pala T-2000 cuadrada, cabeza sola",6,36,Pieza,7501206628362,67,57.76,57,49.14,*,*,48,41.38,Truper,27112004,Palas
47057,C2USB-EB,"Toma con 2 puertos USB, 1.5 módulos, línea Española, blanco",12,144,Pieza,7506240666486,187,161.21,159,137.07,145,125,125,107.76,Volteck,31162800,Ferretería en general
19387,C5-711,"Cinceles para martillo neumático TPN-711, 5 piezas",4,16,Pieza,7501206651971,519,447.41,455,392.24,389,335.34,325,280.17,Truper,27131500,Herramientas neumáticas
11573,CA-1-1/2F,"Carda circular 1-1/2', alambre fino, para taladro",6,36,Pieza,7501206600115,33,28.45,29,25,25,21.55,22,18.97,Truper,23131503,Ruedas de esmerilado
11520,CA-104,Carda 6 x 3/4' para esmeril,4,24,Pieza,7501206640814,187,161.21,159,137.07,145,125,125,107.76,Truper,23131503,Ruedas de esmerilado
11523,CA-105,Carda 6 x 13/16 para esmeril,4,24,Pieza,7501206640821,205,176.72,175,150.86,155,133.62,135,116.38,Truper,23131503,Ruedas de esmerilado
11526,CA-106,Carda 6 x 1-1/8' para esmeril,4,24,Pieza,7501206640838,225,193.97,195,168.1,169,145.69,149,128.45,Truper,23131503,Ruedas de esmerilado
17524,CA-107,"Carda alambre ondulado, 8 x 3/4' para esmeril",4,16,Pieza,7506240621591,325,280.17,279,240.52,245,211.21,215,185.34,Truper,23131503,Ruedas de esmerilado
17525,CA-108,"Carda alambre ondulado, 8 x 13/16' para esmeril",4,16,Pieza,7506240621607,365,314.66,319,275,279,240.52,245,211.21,Truper,23131503,Ruedas de esmerilado
17526,CA-109,"Carda alambre ondulado, 8 x 1-1/8' para esmeril",4,16,Pieza,7506240621614,385,331.9,329,283.62,295,254.31,255,219.83,Truper,23131503,Ruedas de esmerilado
43366,CA-109LQ,"Candado de acero, 109mm, gancho largo, llave de puntos",3,12,Pieza,7506240609193,335,288.79,295,254.31,259,223.28,225,193.97,Hermex,46171501,Candados
43365,CA-109Q,"Candado de acero, 109mm, gancho corto, llave de puntos",3,12,Pieza,7506240609186,325,280.17,279,240.52,245,211.21,215,185.34,Hermex,46171501,Candados
11569,CA-2,Carda circular 2' para taladro,6,36,Pieza,7501206675670,33,28.45,29,25,25,21.55,22,18.97,Truper,23131503,Ruedas de esmerilado
11574,CA-2F,"Carda circular 2', alambre fino, para taladro",6,36,Pieza,7501206600122,38,32.76,33,28.45,29,25,25,21.55,Truper,23131503,Ruedas de esmerilado
21002,CA-2P,"Carda circular 2', alambre grueso, para taladro, Pretul",6,36,Pieza,7501206659052,26,22.41,22,18.97,20,17.24,17,14.66,Pretul,23131503,Ruedas de esmerilado
11570,CA-3,Carda circular 3' para taladro,6,36,Pieza,7501206675687,48,41.38,42,36.21,37,31.9,32,27.59,Truper,23131503,Ruedas de esmerilado
20643,CA-34F,"Cavador mango fibra de vidrio 44', Pretul",2,0,Pieza,7506240673668,325,280.17,279,240.52,245,211.21,215,185.34,Pretul,27112000,"Herramientas manuales de jardinería, agricultura y forestación"
11973,CA-36,Cavador mango de madera 45',2,144,Pieza,7501206610503,445,383.62,385,331.9,339,292.24,295,254.31,Truper,27112000,"Herramientas manuales de jardinería, agricultura y forestación"
100174,CA-36F,Cavador mango fibra de vidrio 45',2,0,Pieza,7506240673705,445,383.62,385,331.9,339,292.24,295,254.31,Truper,27112000,"Herramientas manuales de jardinería, agricultura y forestación"
11131,CA-36M,Cavador mango de acero 45',2,110,Pieza,7506240653554,415,357.76,355,306.03,315,271.55,275,237.07,Truper,27112000,"Herramientas manuales de jardinería, agricultura y forestación"
11979,CA-38,"Cavador mango de madera 48', Truper Expert",2,110,Pieza,7501206612156,625,538.79,539,464.66,475,409.48,415,357.76,Expert,27112000,"Herramientas manuales de jardinería, agricultura y forestación"
11982,CA-38F,"Cavador mango fibra de vidrio 48', Truper Expert",2,80,Pieza,7501206612552,625,538.79,539,464.66,475,409.48,415,357.76,Expert,27112000,"Herramientas manuales de jardinería, agricultura y forestación"
11981,CA-38M,"Cavador mangos de acero 47-1/4', Truper Expert",2,110,Pieza,7501206675908,565,487.07,485,418.1,429,369.83,375,323.28,Expert,27112000,"Herramientas manuales de jardinería, agricultura y forestación"
11575,CA-3F,"Carda circular 3', alambre fino, para taladro",6,36,Pieza,7501206600139,52,44.83,46,39.66,40,34.48,35,30.17,Truper,23131503,Ruedas de esmerilado
21003,CA-3P,"Carda circular 3', alambre grueso, para taladro, Pretul",6,36,Pieza,7501206659069,38,32.76,33,28.45,29,25,25,21.55,Pretul,23131503,Ruedas de esmerilado
11590,CA-4,Carda circular 4' para taladro,6,36,Pieza,7501206600160,69,59.48,59,50.86,52,44.83,46,39.66,Truper,23131503,Ruedas de esmerilado
100139,CA-40,"Cavador giratorio de acero, mango 'T'",2,0,Pieza,7506240673156,935,806.03,815,702.59,719,619.83,625,538.79,Truper,21101606,Excavadoras de agujeros
11576,CA-4F,"Carda circular 4', alambre fino, para taladro",6,36,Pieza,7501206600146,78,67.24,67,57.76,59,50.86,52,44.83,Truper,23131503,Ruedas de esmerilado
43337,CA-65LQ,"Candado redondo, 65mm, gancho largo, llave de puntos,blister",3,36,Pieza,7501206681053,269,231.9,235,202.59,205,176.72,179,154.31,Hermex,46171501,Candados
43339,CA-65LX,"Candado redondo, 65mm, gancho largo, llave tetra, blister",3,36,Pieza,7501206681077,279,240.52,239,206.03,215,185.34,185,159.48,Hermex,46171501,Candados
43336,CA-65Q,"Candado redondo, 65mm, gancho corto, llave de puntos,blister",3,36,Pieza,7501206681046,265,228.45,229,197.41,199,171.55,175,150.86,Hermex,46171501,Candados
43338,CA-65X,"Candado redondo, 65mm, gancho corto, llave tetra, blister",3,36,Pieza,7501206681060,269,231.9,235,202.59,205,176.72,179,154.31,Hermex,46171501,Candados
13086,CA-850,Cabezal para dado para tarrajas de 3/8 hasta 1-1/4',1,10,Pieza,7501206634257,795,685.34,695,599.14,595,512.93,495,426.72,Truper,27112700,Herramientas mecánicas
13087,CA-851,Cabezal para dado para tarrajas de 3/8 hasta 2',1,6,Pieza,7501206634448,1175,1012.93,1025,883.62,885,762.93,735,633.62,Truper,27112700,Herramientas mecánicas
14339,CA-852X,"Cabezal para dado para tarrajas 1/2 hasta 2', Truper Expert",1,6,Pieza,7506240670186,1625,1400.86,1415,1219.83,1219,1050.86,1015,875,Expert,27112806,Machos de roscado
